Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2022-01-03 00:00:00-05:00,GOOGL,144.9915008544922,144.9915008544922,145.8509979248047,143.71299743652344,145.05499267578125,28646000.0
2022-01-04 00:00:00-05:00,GOOGL,144.39950561523438,144.39950561523438,146.48500061035156,143.7165069580078,145.39599609375,28400000.0
2022-01-05 00:00:00-05:00,GOOGL,137.77499389648438,137.77499389648438,144.49949645996094,137.68800354003906,144.4199981689453,54618000.0
2022-01-06 00:00:00-05:00,GOOGL,137.74749755859375,137.74749755859375,139.94000244140625,136.55850219726562,136.99850463867188,37348000.0
2022-01-07 00:00:00-05:00,GOOGL,137.01699829101562,137.01699829101562,138.44850158691406,135.76649475097656,138.14549255371094,29760000.0
2022-01-10 00:00:00-05:00,GOOGL,138.66949462890625,138.66949462890625,138.8195037841797,133.1645050048828,135.0780029296875,44408000.0
2022-01-11 00:00:00-05:00,GOOGL,139.73599243164062,139.73599243164062,140.21600341796875,136.6925048828125,138.0070037841797,28730000.0
2022-01-12 00:00:00-05:00,GOOGL,141.4304962158203,141.4304962158203,142.60800170898438,140.6945037841797,141.14999389648438,26108000.0
2022-01-13 00:00:00-05:00,GOOGL,138.58700561523438,138.58700561523438,142.85000610351562,138.40899658203125,141.5399932861328,31436000.0
2022-01-14 00:00:00-05:00,GOOGL,139.48049926757812,139.48049926757812,140.74200439453125,136.99850463867188,137.07899475097656,29662000.0
2022-01-18 00:00:00-05:00,GOOGL,135.9980010986328,135.9980010986328,137.13150024414062,135.43850708007812,136.1750030517578,34872000.0
2022-01-19 00:00:00-05:00,GOOGL,135.1165008544922,135.1165008544922,137.95950317382812,135.0155029296875,136.52349853515625,28648000.0
2022-01-20 00:00:00-05:00,GOOGL,133.3074951171875,133.3074951171875,137.62600708007812,132.96449279785156,136.25,29908000.0
2022-01-21 00:00:00-05:00,GOOGL,130.35150146484375,130.35150146484375,134.86549377441406,130.0865020751953,132.593505859375,55652000.0
2022-01-24 00:00:00-05:00,GOOGL,130.8040008544922,130.8040008544922,131.2030029296875,124.5,125.97799682617188,76622000.0
2022-01-25 00:00:00-05:00,GOOGL,126.93499755859376,126.93499755859376,129.3990020751953,126.50050354003906,128.74000549316406,46960000.0
2022-01-26 00:00:00-05:00,GOOGL,129.23300170898438,129.23300170898438,133.0,127.14199829101562,131.11900329589844,49130000.0
2022-01-27 00:00:00-05:00,GOOGL,129.0050048828125,129.0050048828125,132.65249633789062,128.9324951171875,131.3040008544922,31950000.0
2022-01-28 00:00:00-05:00,GOOGL,133.3509979248047,133.3509979248047,133.35650634765625,128.48500061035156,129.65899658203125,34362000.0
